date,keyword,title,description,source,url,risk_score,article_id,title_key
2026-02-19 15:26:32+00:00,container rates,Asia-U.S. container rates continue to fall as industry change swirls,Container rates continued to fall on Asia-U.S. trade lanes as shippers wait out the Lunar New Year holiday.,FreightWaves,https://www.freightwaves.com/news/asia-u-s-container-rates-continue-to-fall-as-industry-change-swirls,0.0,84b7cbf6c95cfecb70933fa7ebd3b39718431d7b358ef69defa46d75ef5ca01f,asia u s container rates continue to fall as industry change swirls
2026-02-20 03:07:04+00:00,bank stress,"Bank profitability improves, outlook healthy on advances growth, lower interest expenses: Report","The report noted that the improvement in profitability was primarily driven by strong growth in core income and better asset quality trends. Lower slippages and improved recoveries helped reduce stress on balance sheets, while higher fee income further supported overall earnings during the quarter.",Zee News,https://zeenews.india.com/economy/bank-profitability-improves-outlook-healthy-on-advances-growth-lower-interest-expenses-report-3018844.html,0.0,87ef62a4b79310844ae001b3f64d72f94f69315984ad2935c1495f879887b0c7,bank profitability improves outlook healthy on advances growth lower interest expenses report
2026-02-20 03:13:48+00:00,debt ceiling,"TN finance minister defends fiscal management; says debt, deficit growth lower than previous regime","For 2025-26, while the permissible debt ceiling was 28.7% of GSDP, Tamil Nadu’s debt stood at 26.43%, the finance minster said.",The New Indian Express,https://www.newindianexpress.com/states/tamil-nadu/2026/Feb/20/tn-finance-minister-defends-fiscal-management-says-debt-deficit-growth-lower-than-previous-regime,0.0,226b9c199cf8942603dd6084b266dd01bbe1b4a36169489a648849921541459d,tn finance minister defends fiscal management says debt deficit growth lower than previous regime
2026-02-20 19:08:00+00:00,bank stress,Vedanta Resources mobilises $350 million in fresh borrowing,"Vedanta Resources has raised $350 million from global banks. This financing will cover upcoming debt payments and interest costs. The deal involves lenders like First Abu Dhabi Bank, Mashreq Bank, Standard Chartered, Deutsche Bank, and JPMorgan. Twin Star Holdings, a family trust, is the guarantor. This move strengthens Vedanta's credit profile after a period of stress.",The Economic Times,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/vedanta-mobilises-350-million-in-fresh-borrowing/articleshow/128621720.cms,0.0,554f60936e0beba2df4bc7afe6e697715aaddd83a82c7c8a465fd79db14847e1,vedanta resources mobilises 350 million in fresh borrowing
2026-02-21 15:29:33+00:00,bank stress,Mumbai Study Finds Silent Music Therapy Boosts Breast Milk Production By 90% At Cama Hospital's Milk Bank,"A study at Cama and Albless Hospital in Mumbai found that silent music therapy significantly increased breast milk production among donor mothers. Milk collection rose from 2.73 lakh ml in 2023 to 5.2 lakh ml in 2025, despite fewer donors. Researchers linked improved output to reduced stress and better hormonal response.",Free Press Journal,https://www.freepressjournal.in/mumbai/mumbai-study-finds-silent-music-therapy-boosts-breast-milk-production-by-90-at-cama-hospitals-milk-bank,0.0,832ffbd5ddeecb863a8fa9fb72dde7e36a0f60740456d341cd8476396c35d411,mumbai study finds silent music therapy boosts breast milk production by 90 at cama hospital s milk bank
2026-02-23 03:46:13+00:00,container rates,Tiger Logistics Targets Better Freight Rates to Boost Revenue Amid Reefer Pharma Sector Growth,"Tiger Logistics is targeting better freight rates to boost turnover and revenue performance. The company is experiencing positive growth in the reefer pharma sector, particularly from northern regions, which is driving improved container export results and positioning the company strategically in specialized logistics services.",scanx.trade,https://scanx.trade/stock-market-news/stocks/tiger-logistics-targets-better-freight-rates-to-boost-revenue-amid-reefer-pharma-sector-growth/33363973,0.0,031c49632af8770da050db199cbc13925f80d2b4c219c14672853348da40252e,tiger logistics targets better freight rates to boost revenue amid reefer pharma sector growth
2026-02-23 09:06:09+00:00,bank stress,"Staff Collusion Led To Haryana Govt Account Fraud, Profits To Stay Solid Despite Provisions: IDFC Bank","In a specially convened call for investors and analysts ahead of opening of the equity markets, Vaidyanathan said the bank will take some provisions as a result of the fraud and in line with its policies to recognise any stress upfront.",NDTV Profit,https://www.ndtvprofit.com/business/staff-collusion-led-to-haryana-govt-account-fraud-profits-to-stay-solid-despite-provisions-idfc-bank-11123817,0.0,76ac2d0a7b2dd952daee8ff2c7503a213866efd039b53f4c9533f3935ae5421d,staff collusion led to haryana govt account fraud profits to stay solid despite provisions idfc bank
2026-02-23 19:10:42+00:00,container rates,“Textbook” case: Why trans-Pacific container rates continue to fall,"Xeneta: Iran tensions could delay Red Sea return  While ocean carriers wrangle with too many ships and too little cargo, continuing weak rates on the",FreightWaves,https://www.freightwaves.com/news/textbook-case-why-trans-pacific-container-rates-continue-to-fall,0.0,6a072371892d5c929ac19ecb4165af04cde17f16b963164f7257570576b9bdf9,textbook case why trans pacific container rates continue to fall
2026-02-23 21:22:19+00:00,credit spread,Capital One Slips As Private Credit Jitters Spread,Capital One Financial shares are trading lower Monday afternoon as a wave of selling hit U.S. bank and asset-management shares on worries about private credit and AI-exposed lending.,Benzinga,https://www.benzinga.com/trading-ideas/movers/26/02/50800072/capital-one-slips-as-private-credit-jitters-spread,0.0,069e48dedef750b0946732064d7f7c0001df74923b3d1d3a976e96c9139dfb97,capital one slips as private credit jitters spread
2026-02-24 19:49:08+00:00,credit spread,Financial Carnage in Shadow Banking as Private Credit Freezes Spread,"Market Analysis by covering: S&P 500, Dow Jones Industrial Average, BlackRock Inc, Blackstone Inc. Read 's Market Analysis on Investing.com",Investing.com,https://www.investing.com/analysis/financial-carnage-in-shadow-banking-as-private-credit-freezes-spread-200675583,0.0,03594d46c9631fb35cfee9df8bf1d00dc08a9bdcf4c58f7ae07914cf11946126,financial carnage in shadow banking as private credit freezes spread
